0,49.722,40.693,45.931,45.931,0,45.931,49.722
0.5,49.291,40.693,45.255,45.255,0.5,45.255,49.291
1,48.24,40.693,43.517,43.517,1,43.517,48.24
1.5,47.244,40.693,41.723,41.723,1.5,41.723,47.244
2,46.46,40.693,40.178,40.178,2,40.178,46.46
2.5,45.865,40.693,38.903,38.903,2.5,38.903,45.865
3,45.412,40.693,37.858,37.858,3,37.858,45.412
3.5,45.063,40.693,37.003,37.003,3.5,37.003,45.064
4,44.794,40.693,36.304,36.304,4,36.304,44.794
4.5,44.584,40.693,35.735,35.736,4.5,35.736,44.584
5,44.422,40.693,35.279,35.279,5,35.279,44.422
5.5,44.299,40.693,34.921,34.921,5.5,34.921,44.299
6,44.208,40.693,34.652,34.652,6,34.652,44.208
6.5,44.146,40.693,34.464,34.464,6.5,34.464,44.146
7,44.11,40.693,34.353,34.353,7,34.353,44.11
7.5,44.098,40.693,34.316,34.317,7.5,34.317,44.098
8,44.11,40.693,34.353,34.353,8,34.353,44.11
8.5,44.146,40.693,34.464,34.464,8.5,34.464,44.146
9,44.208,40.693,34.652,34.652,9,34.652,44.208
9.5,44.299,40.693,34.921,34.921,9.5,34.921,44.299
10,44.422,40.693,35.279,35.279,10,35.279,44.422
10.5,44.584,40.693,35.735,35.736,10.5,35.736,44.584
11,44.793,40.693,36.304,36.304,11,36.304,44.794
11.5,45.063,40.693,37.003,37.003,11.5,37.003,45.064
12,45.411,40.693,37.858,37.858,12,37.858,45.412
12.5,45.865,40.693,38.902,38.903,12.5,38.903,45.865
13,46.46,40.693,40.178,40.178,13,40.178,46.46
13.5,47.244,40.693,41.722,41.723,13.5,41.723,47.244
14,48.24,40.693,43.517,43.517,14,43.517,48.24
14.5,49.291,40.693,45.255,45.255,14.5,45.255,49.291
15,49.721,40.693,45.931,45.931,15,45.931,49.722
