in_angle,out_angle,gain_dB,phase_shift
0,0,50.3770365902959,-2.68750341327571
0,1,47.9585876814104,-2.68750341327571
0,2,43.8710222550197,-2.68750341327568
0,3,36.1228924403671,-2.68750341327571
0,4,22.0653814006928,0.454089240314115
0,5,36.1474886538677,0.454089240314093
0,6,38.7380687474544,0.454089240314101
0,7,38.2321583136938,0.454089240314101
0,8,35.0380898065349,0.454089240314091
0,9,26.5014473914675,0.45408924031409
0,10,22.8912175033508,-2.68750341327571
0,11,32.0610990037554,-2.68750341327571
0,12,34.3325418738246,-2.68750341327571
0,13,33.7797444651048,-2.68750341327571
0,14,30.440969341667,-2.68750341327571
0,15,20.6444128911149,-2.68750341327571
0,16,21.6876386718236,0.454089240314091
0,17,29.4433587565591,0.454089240314101
0,18,31.5858792810212,0.454089240314094
0,19,31.1018622725371,0.454089240314101
0,20,27.9577339684111,0.454089240314094
0,21,18.8331258632224,0.45408924031409
0,22,18.5215299938332,-2.68750341327571
0,23,26.9761100937913,-2.68750341327571
0,24,29.5136427505232,-2.68750341327571
0,25,29.5108106562334,-2.68750341327568
0,26,27.1944461187519,-2.68750341327571
0,27,20.8615827982056,-2.68750341327568
0,28,8.40835460417975,0.454089240314122
0,29,23.5042472321297,0.454089240314101
0,30,27.375167750579,0.454089240314094
0,31,28.4076084505622,0.454089240314094
0,32,27.4494607691025,0.454089240314093
0,33,24.125321511586,0.454089240314101
0,34,15.0649455939845,0.45408924031409
0,35,14.6711980335714,-2.68750341327571
0,36,23.5082892262854,-2.68750341327571
0,37,26.5733708263463,-2.68750341327571
0,38,27.4092793804988,-2.68750341327571
0,39,26.5748835568563,-2.68750341327571
0,40,23.8163396070402,-2.68750341327571
0,41,17.2507915513043,-2.68750341327571
0,42,5.37043516874027,0.454089240314076
0,43,20.3260962799899,0.454089240314094
0,44,24.6110293062856,0.454089240314093
0,45,26.3794154387654,0.454089240314094
0,46,26.6574448203515,0.454089240314094
0,47,25.6435765639166,0.454089240314101
0,48,23.0804111557482,0.454089240314094
0,49,17.6776658708114,0.454089240314103
0,50,-10.6125018941637,0.45408924031415
0,51,16.7422470286065,-2.68750341327571
0,52,22.2944105752129,-2.68750341327571
0,53,24.8813061236829,-2.68750341327571
0,54,26.0474513598224,-2.68750341327571
0,55,26.224930839573,-2.68750341327571
0,56,25.5316158301464,-2.68750341327571
0,57,23.8915637389458,-2.68750341327571
0,58,20.9396054759534,-2.68750341327571
0,59,15.3589841124923,-2.68750341327571
0,60,-10.5786593417966,-2.68750341327583
0,61,14.1607744973421,0.454089240314104
0,62,19.9752312669953,0.454089240314094
0,63,22.9374277625723,0.454089240314101
0,64,24.6520508463571,0.4540892403141
0,65,25.6072450544144,0.454089240314101
0,66,26.0134451407234,0.454089240314094
0,67,25.9740194230448,0.4540892403141
0,68,25.5375219850473,0.454089240314094
0,69,24.7150999034851,0.4540892403141
0,70,23.4818535301601,0.454089240314094
0,71,21.7632938219814,0.454089240314101
0,72,19.3926194239287,0.454089240314101
0,73,15.9757586045295,0.454089240314101
0,74,10.2927148159399,0.454089240314108
0,75,-9.0020667544473,0.454089240314133
0,76,7.55083597579295,-2.68750341327571
0,77,13.8054981684256,-2.68750341327571
0,78,17.1018900725726,-2.68750341327571
0,79,19.2368449064313,-2.68750341327571
0,80,20.739642380038,-2.68750341327571
0,81,21.8424884601351,-2.68750341327571
0,82,22.6696593587034,-2.68750341327571
0,83,23.2963085839531,-2.68750341327571
0,84,23.7717220361998,-2.68750341327571
0,85,24.1300065622152,-2.68750341327571
0,86,24.3955269663114,-2.68750341327571
0,87,24.5858701361113,-2.68750341327571
0,88,24.713534129854,-2.68750341327571
0,89,24.7869094870005,-2.68750341327571
0,90,24.8108396579375,-2.68750341327571
0,91,24.7869094870005,-2.68750341327571
0,92,24.713534129854,-2.68750341327571
0,93,24.5858701361113,-2.68750341327571
0,94,24.3955269663114,-2.68750341327571
0,95,24.1300065622152,-2.68750341327571
0,96,23.7717220361998,-2.68750341327571
0,97,23.2963085839531,-2.68750341327571
0,98,22.6696593587034,-2.68750341327571
0,99,21.8424884601351,-2.68750341327571
0,100,20.739642380038,-2.68750341327571
0,101,19.2368449064313,-2.68750341327571
0,102,17.1018900725726,-2.68750341327571
0,103,13.8054981684256,-2.68750341327571
0,104,7.55083597579295,-2.68750341327571
0,105,-9.0020667544473,0.454089240314133
0,106,10.2927148159399,0.454089240314108
0,107,15.9757586045295,0.454089240314101
0,108,19.3926194239287,0.454089240314101
0,109,21.7632938219814,0.454089240314101
0,110,23.4818535301601,0.454089240314094
0,111,24.7150999034851,0.4540892403141
0,112,25.5375219850473,0.454089240314094
0,113,25.9740194230448,0.4540892403141
0,114,26.0134451407234,0.454089240314094
0,115,25.6072450544144,0.454089240314101
0,116,24.6520508463571,0.4540892403141
0,117,22.9374277625723,0.454089240314101
0,118,19.9752312669953,0.454089240314094
0,119,14.1607744973421,0.454089240314104
0,120,-10.5786593417966,-2.68750341327583
0,121,15.3589841124923,-2.68750341327571
0,122,20.9396054759534,-2.68750341327571
0,123,23.8915637389458,-2.68750341327571
0,124,25.5316158301464,-2.68750341327571
0,125,26.224930839573,-2.68750341327571
0,126,26.0474513598224,-2.68750341327571
0,127,24.8813061236829,-2.68750341327571
0,128,22.2944105752129,-2.68750341327571
0,129,16.7422470286065,-2.68750341327571
0,130,-10.6125018941637,0.45408924031415
0,131,17.6776658708114,0.454089240314103
0,132,23.0804111557482,0.454089240314094
0,133,25.6435765639166,0.454089240314101
0,134,26.6574448203515,0.454089240314094
0,135,26.3794154387654,0.454089240314094
0,136,24.6110293062856,0.454089240314093
0,137,20.3260962799899,0.454089240314094
0,138,5.37043516874027,0.454089240314076
0,139,17.2507915513043,-2.68750341327571
0,140,23.8163396070402,-2.68750341327571
0,141,26.5748835568563,-2.68750341327571
0,142,27.4092793804988,-2.68750341327571
0,143,26.5733708263463,-2.68750341327571
0,144,23.5082892262854,-2.68750341327571
0,145,14.6711980335714,-2.68750341327571
0,146,15.0649455939845,0.45408924031409
0,147,24.125321511586,0.454089240314101
0,148,27.4494607691025,0.454089240314093
0,149,28.4076084505622,0.454089240314094
0,150,27.375167750579,0.454089240314094
0,151,23.5042472321297,0.454089240314101
0,152,8.40835460417975,0.454089240314122
0,153,20.8615827982056,-2.68750341327568
0,154,27.1944461187519,-2.68750341327571
0,155,29.5108106562334,-2.68750341327568
0,156,29.5136427505232,-2.68750341327571
0,157,26.9761100937913,-2.68750341327571
0,158,18.5215299938332,-2.68750341327571
0,159,18.8331258632224,0.45408924031409
0,160,27.9577339684111,0.454089240314094
0,161,31.1018622725371,0.454089240314101
0,162,31.5858792810212,0.454089240314094
0,163,29.4433587565591,0.454089240314101
0,164,21.6876386718236,0.454089240314091
